"","RC3","RC1","RC2"
"happy",0.60759378629606,0.452669058695313,-0.0496402335448616
"depressed",0.40274007804134,0.6528904030294,-0.115170412030776
"fear",0.893304267429335,-0.0233218720444696,0.0785480998797608
"angry",0.627698401567764,0.361348306990532,-0.00152144420127047
"calm",0.678578576690884,0.213644990382262,0.0984360675353212
"sounds",0.0924400196422656,-0.209547991373217,0.845341779102747
"seeing",0.341546263204807,-0.265475734780072,0.774413760206524
"temperature",0.208922967816906,-0.287289602539815,0.814324818493708
"odors",0.463257909865096,-0.211584111185699,0.602748099839172
"depth",-0.0131737511340732,0.0365759667465398,0.711718283167609
"computations",-0.924736800823618,0.488895551525308,0.443136880493763
"thoughts",0.518223181042309,0.39900876325932,0.0861437323307534
"reasoning",-0.228068873571343,0.588030764426323,0.422819106495641
"remembering",-0.259954235116657,0.234778727910777,0.751701223190264
"beliefs",0.0053613648866139,0.862565885988337,-0.103009519565778
"hungry",1.02180711532208,-0.273418289859925,0.0254045697914554
"tired",0.902169443913508,-0.048503619888195,0.0975473877215479
"pain",0.987884817911873,-0.169921063788266,0.0473448707005661
"nauseated",0.671189440645776,0.296405448499064,-0.0159874936246582
"safe",0.746926403490521,0.134958460090076,0.0883975926148729
"love",0.461970146696448,0.61783881869855,-0.122088109917279
"recognizing",-0.224341267233616,0.39698933232241,0.602435456809088
"communicating",-0.0518844281452853,0.0828864466966278,0.764290224243484
"guilt",0.163153055818442,0.873918329576676,-0.193242369150639
"disrespected",0.184171266021967,0.807934388781701,-0.14649748005352
"free_will",0.705516042688302,0.0988071531936597,0.112292778875062
"choices",0.129436803136087,0.0735725487893908,0.685489892765976
"self_restraint",0.0502117537332779,0.642136970419598,0.149900068626526
"intentions",0.483145978303644,0.166619394359385,0.285453870922663
"goal",-0.0575146717158482,0.0708530741257925,0.70265961145555
"conscious",0.731460840419868,0.0941598359318696,0.113252267757334
"self_aware",0.399273242924024,0.41718197297069,0.108632845853344
"desires",0.686432537148808,0.246076367003106,0.0641197543555357
"embarrassed",0.12781968165101,0.895039999500195,-0.219959839333876
"emo_recog",0.0239004888481464,0.783802452061141,0.0734487829340881
"joy",0.580820467240081,0.479779729071113,-0.036762764574204
"morality",-0.171279980610625,0.82738865506194,0.0952579820607595
"personality",0.314682898656818,0.569701529405323,0.118614866755535
"pleasure",0.768640359915149,0.204612356967002,0.0487906536483134
"pride",0.270088305801219,0.790587460199983,-0.138342447008995
